vehicle_id,vehicle_number,vehicle_type,driver_id,status,fuel_level,last_service_date
V001,RJ14I9817,truck,D001,active,90,2026-06-04
V002,HR26H2419,truck,D002,idle,46,2026-08-05
V003,MH12S7209,truck,D003,active,56,2026-05-24
V004,MH12G6813,truck,D004,active,91,2026-07-29
V005,HR26R1166,mini_truck,D005,maintenance,25,2026-05-31
V006,RJ14N9004,mini_truck,D006,idle,75,2026-07-22
V007,RJ14P8342,van,D007,active,43,2026-06-21
V008,RJ14H6016,mini_truck,D008,active,75,2026-07-10
V009,KA01L7971,mini_truck,D009,active,60,2026-07-29
V010,MH12I6023,truck,D010,active,39,2026-06-10
V011,UP16X9779,mini_truck,D011,active,42,2026-08-03
V012,MH12I9595,mini_truck,D012,active,27,2026-08-15
V013,DL01J4727,truck,D013,active,16,2026-07-30
V014,KA01E5494,van,D014,maintenance,85,2026-06-07
V015,RJ14E9042,van,D015,idle,88,2026-06-06
V016,MH12P8216,truck,D016,active,21,2026-06-02
V017,TS09P2869,van,D017,active,24,2026-07-13
V018,RJ14V1878,van,D018,active,87,2026-06-08
V019,UP16H2940,mini_truck,D019,idle,92,2026-07-16
V020,TS09T4697,mini_truck,D020,active,71,2026-06-08
V021,TS09S8025,truck,D021,active,22,2026-07-18
V022,RJ14D4404,mini_truck,D022,active,99,2026-05-11
V023,DL01H3847,mini_truck,D023,active,15,2026-06-22
V024,MH12W8699,truck,D024,active,51,2026-07-30
V025,HR26W8438,van,D025,active,48,2026-08-09
V026,TS09U4241,truck,D026,active,43,2026-07-22
V027,DL01I3330,van,D027,active,54,2026-07-16
V028,RJ14S5728,truck,D028,active,53,2026-07-29
V029,MH12I9199,mini_truck,D029,active,25,2026-07-16
V030,UP16N6280,mini_truck,D030,active,26,2026-05-30
V031,RJ14S1339,mini_truck,D031,idle,88,2026-05-06
V032,TS09Y3870,truck,D032,active,71,2026-08-26
V033,HR26F8141,mini_truck,D033,idle,26,2026-06-30
V034,HR26N6460,truck,D034,active,35,2026-06-12
V035,MH12W9117,truck,D035,active,66,2026-08-13
V036,TS09R1601,truck,D036,active,47,2026-06-11
V037,UP16Y7622,mini_truck,D037,idle,15,2026-07-24
V038,TS09R8569,truck,D038,active,81,2026-06-16
V039,KA01Y9167,mini_truck,D039,active,21,2026-05-27
V040,HR26R3146,truck,D040,active,77,2026-05-16
V041,UP16U4920,mini_truck,D041,active,85,2026-05-02
V042,KA01N2527,van,D042,maintenance,29,2026-06-29
V043,UP16U3522,truck,D043,maintenance,52,2026-07-05
V044,RJ14I7807,truck,D044,maintenance,46,2026-06-28
V045,KA01E7284,van,D045,maintenance,80,2026-08-04
V046,DL01C5526,truck,D046,active,79,2026-06-04
V047,TS09A5634,mini_truck,D047,active,90,2026-07-14
V048,RJ14P3434,truck,D048,active,59,2026-06-12
V049,KA01Y9903,truck,D049,active,56,2026-08-20
V050,DL01W4912,mini_truck,D050,active,67,2026-05-06
