order_id,customer_id,order_date,order_amount,payment_status,order_status
O0001,C061,2026-08-23 12:00:00,9957.93,paid,shipped
O0002,C084,2026-08-05 15:00:00,24137.20,paid,delivered
O0003,C076,2026-08-11 03:00:00,21916.66,paid,confirmed
O0004,C068,2026-08-30 14:00:00,875.02,paid,delivered
O0005,C084,2026-08-05 02:00:00,12001.52,paid,confirmed
O0006,C080,2026-08-23 12:00:00,16420.00,refunded,cancelled
O0007,C087,2026-08-28 17:00:00,9809.23,paid,delivered
O0008,C092,2026-08-29 15:00:00,21872.38,paid,shipped
O0009,C009,2026-08-08 20:00:00,17266.79,paid,confirmed
O0010,C030,2026-08-24 02:00:00,11131.30,paid,shipped
O0011,C082,2026-08-23 03:00:00,11369.12,paid,confirmed
O0012,C004,2026-08-02 10:00:00,20004.51,paid,delivered
O0013,C048,2026-08-14 04:00:00,6481.84,paid,shipped
O0014,C088,2026-08-26 05:00:00,4663.60,paid,delivered
O0015,C049,2026-08-20 21:00:00,6399.33,paid,confirmed
O0016,C019,2026-08-08 14:00:00,16127.66,paid,delivered
O0017,C086,2026-08-01 14:00:00,22578.63,paid,delivered
O0018,C021,2026-08-03 14:00:00,23657.27,paid,delivered
O0019,C082,2026-08-31 13:00:00,17411.68,refunded,cancelled
O0020,C039,2026-08-07 12:00:00,21405.72,paid,delivered
O0021,C049,2026-08-19 11:00:00,14581.89,paid,confirmed
O0022,C003,2026-08-27 21:00:00,10196.24,refunded,cancelled
O0023,C088,2026-08-25 23:00:00,24352.27,paid,confirmed
O0024,C096,2026-08-16 09:00:00,19504.65,paid,delivered
O0025,C046,2026-08-08 20:00:00,5157.23,paid,shipped
O0026,C097,2026-08-24 21:00:00,17179.95,paid,shipped
O0027,C013,2026-08-29 20:00:00,16334.34,paid,confirmed
O0028,C057,2026-08-02 18:00:00,9438.10,paid,shipped
O0029,C038,2026-08-11 23:00:00,10678.83,paid,confirmed
O0030,C070,2026-08-29 11:00:00,13504.88,paid,shipped
O0031,C022,2026-08-09 15:00:00,24199.91,paid,delivered
O0032,C044,2026-08-26 03:00:00,11973.12,paid,shipped
O0033,C097,2026-08-31 07:00:00,21572.44,paid,confirmed
O0034,C051,2026-08-31 17:00:00,9460.49,paid,delivered
O0035,C002,2026-08-09 17:00:00,3526.92,paid,delivered
O0036,C096,2026-08-22 08:00:00,14820.72,paid,shipped
O0037,C048,2026-08-04 21:00:00,6227.64,paid,delivered
O0038,C072,2026-08-11 19:00:00,5922.50,paid,confirmed
O0039,C060,2026-08-30 22:00:00,7902.66,paid,confirmed
O0040,C018,2026-08-02 01:00:00,7955.93,paid,delivered
O0041,C013,2026-08-08 17:00:00,3822.77,paid,delivered
O0042,C086,2026-08-31 23:00:00,17562.86,paid,delivered
O0043,C076,2026-08-24 23:00:00,4284.81,paid,delivered
O0044,C013,2026-08-27 15:00:00,15582.48,paid,delivered
O0045,C005,2026-08-23 11:00:00,5822.11,refunded,cancelled
O0046,C031,2026-08-28 11:00:00,2933.19,paid,delivered
O0047,C070,2026-08-29 20:00:00,9286.51,paid,delivered
O0048,C025,2026-08-31 03:00:00,23749.76,paid,shipped
O0049,C012,2026-08-22 06:00:00,16220.76,paid,delivered
O0050,C003,2026-08-02 10:00:00,6466.44,paid,delivered
O0051,C073,2026-08-07 02:00:00,20829.54,paid,confirmed
O0052,C076,2026-08-07 07:00:00,8548.71,paid,delivered
O0053,C077,2026-08-01 08:00:00,21529.95,paid,confirmed
O0054,C017,2026-08-18 08:00:00,20062.59,paid,confirmed
O0055,C004,2026-08-05 00:00:00,9275.94,paid,confirmed
O0056,C076,2026-08-11 00:00:00,4768.03,paid,delivered
O0057,C095,2026-08-14 16:00:00,3283.41,paid,confirmed
O0058,C058,2026-08-25 11:00:00,13073.33,paid,confirmed
O0059,C065,2026-08-08 19:00:00,1561.44,paid,confirmed
O0060,C085,2026-08-17 09:00:00,11721.04,paid,delivered
O0061,C062,2026-08-28 12:00:00,10942.70,paid,cancelled
O0062,C092,2026-08-30 14:00:00,2299.52,paid,confirmed
O0063,C078,2026-08-05 02:00:00,3590.69,paid,confirmed
O0064,C075,2026-08-18 22:00:00,8466.04,paid,delivered
O0065,C059,2026-08-17 19:00:00,11038.88,refunded,cancelled
O0066,C015,2026-08-28 20:00:00,16446.46,paid,delivered
O0067,C093,2026-08-28 06:00:00,11035.71,paid,delivered
O0068,C053,2026-08-11 14:00:00,10267.89,paid,delivered
O0069,C041,2026-08-14 10:00:00,16794.14,paid,delivered
O0070,C020,2026-08-22 15:00:00,2143.77,paid,shipped
O0071,C012,2026-08-14 03:00:00,18741.43,paid,delivered
