shipment_id,order_id,warehouse_id,vehicle_id,driver_id,shipment_date,expected_delivery,actual_delivery,status,destination_city
S0001,O0122,W007,V032,D032,2026-08-03 04:00:00,2026-08-06 04:00:00,2026-08-08 04:00:00,delivered,Ahmedabad
S0002,O0459,W006,V030,D030,2026-08-25 02:00:00,2026-08-30 02:00:00,2026-08-29 02:00:00,delivered,Delhi
S0003,O0304,W010,V004,D004,2026-08-15 04:00:00,2026-08-17 04:00:00,2026-08-19 04:00:00,delivered,Ahmedabad
S0004,O0426,W006,V021,D021,2026-08-16 08:00:00,2026-08-18 08:00:00,2026-08-18 08:00:00,delivered,Lucknow
S0005,O0055,W003,V029,D029,2026-08-16 10:00:00,2026-08-20 10:00:00,2026-08-20 10:00:00,delivered,Bengaluru
S0006,O0158,W008,V017,D017,2026-08-29 03:00:00,2026-08-30 03:00:00,2026-08-30 03:00:00,delivered,Jaipur
S0007,O0428,W006,V010,D010,2026-08-04 07:00:00,2026-08-07 07:00:00,2026-08-06 07:00:00,delivered,Gurugram
S0008,O0420,W003,V002,D002,2026-08-14 14:00:00,2026-08-19 14:00:00,,in_transit,Jaipur
S0009,O0049,W008,V007,D007,2026-08-27 04:00:00,2026-08-28 04:00:00,2026-08-29 04:00:00,delivered,Lucknow
S0010,O0102,W007,V024,D024,2026-08-23 20:00:00,2026-08-24 20:00:00,,in_transit,Gurugram
S0011,O0470,W002,V002,D002,2026-08-04 06:00:00,2026-08-08 06:00:00,,delayed,Delhi
S0012,O0464,W006,V008,D008,2026-08-03 14:00:00,2026-08-04 14:00:00,2026-08-03 14:00:00,delivered,Bengaluru
S0013,O0016,W007,V044,D044,2026-08-15 05:00:00,2026-08-18 05:00:00,2026-08-17 05:00:00,delivered,Bengaluru
S0014,O0453,W003,V003,D003,2026-08-21 19:00:00,2026-08-26 19:00:00,2026-08-25 19:00:00,delivered,Kolkata
S0015,O0246,W001,V006,D006,2026-08-10 12:00:00,2026-08-12 12:00:00,2026-08-12 12:00:00,delivered,Chandigarh
S0016,O0411,W009,V002,D002,2026-08-14 11:00:00,2026-08-18 11:00:00,2026-08-17 11:00:00,delivered,Pune
S0017,O0139,W003,V002,D002,2026-08-12 19:00:00,2026-08-14 19:00:00,2026-08-16 19:00:00,delivered,Noida
S0018,O0415,W008,V034,D034,2026-08-13 18:00:00,2026-08-15 18:00:00,,cancelled,Delhi
S0019,O0127,W004,V018,D018,2026-08-19 01:00:00,2026-08-21 01:00:00,2026-08-23 01:00:00,delivered,Mumbai
S0020,O0479,W003,V012,D012,2026-08-09 18:00:00,2026-08-12 18:00:00,,delayed,Ahmedabad
S0021,O0184,W010,V002,D002,2026-08-24 11:00:00,2026-08-29 11:00:00,2026-08-29 11:00:00,delivered,Bengaluru
S0022,O0278,W005,V012,D012,2026-08-17 01:00:00,2026-08-18 01:00:00,2026-08-18 01:00:00,delivered,Kolkata
S0023,O0245,W001,V022,D022,2026-08-31 19:00:00,2026-09-02 19:00:00,,delayed,Mumbai
S0024,O0368,W003,V021,D021,2026-08-03 00:00:00,2026-08-05 00:00:00,,in_transit,Lucknow
S0025,O0397,W002,V034,D034,2026-08-29 11:00:00,2026-08-30 11:00:00,2026-09-01 11:00:00,delivered,Hyderabad
S0026,O0052,W006,V020,D020,2026-08-12 04:00:00,2026-08-14 04:00:00,,in_transit,Pune
S0027,O0406,W008,V042,D042,2026-08-12 05:00:00,2026-08-17 05:00:00,,in_transit,Hyderabad
S0028,O0403,W006,V015,D015,2026-08-23 18:00:00,2026-08-25 18:00:00,2026-08-24 18:00:00,delivered,Lucknow
S0029,O0091,W001,V045,D045,2026-08-20 12:00:00,2026-08-25 12:00:00,2026-08-25 12:00:00,delivered,Chandigarh
S0030,O0290,W002,V032,D032,2026-08-06 10:00:00,2026-08-07 10:00:00,2026-08-08 10:00:00,delivered,Chandigarh
S0031,O0454,W002,V046,D046,2026-08-23 20:00:00,2026-08-26 20:00:00,2026-08-26 20:00:00,delivered,Ahmedabad
S0032,O0035,W006,V017,D017,2026-08-27 03:00:00,2026-08-28 03:00:00,2026-08-27 03:00:00,delivered,Lucknow
S0033,O0453,W007,V032,D032,2026-08-30 12:00:00,2026-09-02 12:00:00,2026-09-01 12:00:00,delivered,Hyderabad
S0034,O0334,W004,V011,D011,2026-08-16 02:00:00,2026-08-17 02:00:00,2026-08-17 02:00:00,delivered,Delhi
S0035,O0176,W003,V025,D025,2026-08-07 02:00:00,2026-08-12 02:00:00,,cancelled,Delhi
S0036,O0174,W010,V040,D040,2026-08-30 15:00:00,2026-08-31 15:00:00,2026-08-30 15:00:00,delivered,Lucknow
S0037,O0028,W002,V022,D022,2026-08-08 06:00:00,2026-08-12 06:00:00,,in_transit,Ahmedabad
S0038,O0474,W009,V017,D017,2026-08-23 09:00:00,2026-08-26 09:00:00,2026-08-25 09:00:00,delivered,Lucknow
S0039,O0028,W006,V001,D001,2026-08-15 02:00:00,2026-08-18 02:00:00,,delayed,Chandigarh
S0040,O0308,W008,V013,D013,2026-08-05 00:00:00,2026-08-07 00:00:00,2026-08-07 00:00:00,delivered,Bengaluru
S0041,O0433,W002,V020,D020,2026-08-27 12:00:00,2026-08-31 12:00:00,2026-08-31 12:00:00,delivered,Chandigarh
S0042,O0279,W007,V012,D012,2026-08-13 12:00:00,2026-08-16 12:00:00,2026-08-15 12:00:00,delivered,Bengaluru
S0043,O0135,W004,V018,D018,2026-08-20 01:00:00,2026-08-22 01:00:00,,in_transit,Chandigarh
S0044,O0050,W002,V043,D043,2026-08-13 17:00:00,2026-08-17 17:00:00,,cancelled,Hyderabad
S0045,O0117,W009,V004,D004,2026-08-28 12:00:00,2026-09-02 12:00:00,2026-09-01 12:00:00,delivered,Hyderabad
S0046,O0452,W004,V031,D031,2026-08-11 02:00:00,2026-08-15 02:00:00,,delayed,Ahmedabad
S0047,O0018,W009,V037,D037,2026-08-30 16:00:00,2026-09-04 16:00:00,,in_transit,Hyderabad
S0048,O0076,W002,V049,D049,2026-08-16 05:00:00,2026-08-18 05:00:00,,cancelled,Jaipur
S0049,O0065,W001,V028,D028,2026-08-04 13:00:00,2026-08-06 13:00:00,,cancelled,Chandigarh
S0050,O0076,W010,V017,D017,2026-08-12 02:00:00,2026-08-13 02:00:00,2026-08-12 02:00:00,delivered,Gurugram
S0051,O0267,W008,V001,D001,2026-08-27 19:00:00,2026-09-01 19:00:00,2026-08-31 19:00:00,delivered,Lucknow
S0052,O0076,W010,V038,D038,2026-08-20 03:00:00,2026-08-21 03:00:00,2026-08-20 03:00:00,delivered,Kolkata
S0053,O0451,W006,V027,D027,2026-08-10 12:00:00,2026-08-14 12:00:00,2026-08-14 12:00:00,delivered,Gurugram
S0054,O0207,W003,V040,D040,2026-08-21 12:00:00,2026-08-22 12:00:00,2026-08-23 12:00:00,delivered,Noida
S0055,O0382,W008,V018,D018,2026-08-30 11:00:00,2026-08-31 11:00:00,2026-09-02 11:00:00,delivered,Gurugram
S0056,O0432,W008,V045,D045,2026-08-23 03:00:00,2026-08-25 03:00:00,2026-08-27 03:00:00,delivered,Mumbai
S0057,O0138,W007,V039,D039,2026-08-22 02:00:00,2026-08-24 02:00:00,2026-08-26 02:00:00,delivered,Ahmedabad
S0058,O0249,W009,V024,D024,2026-08-28 01:00:00,2026-09-02 01:00:00,,delayed,Delhi
S0059,O0160,W009,V026,D026,2026-08-06 16:00:00,2026-08-11 16:00:00,2026-08-11 16:00:00,delivered,Noida
S0060,O0128,W001,V030,D030,2026-08-03 11:00:00,2026-08-05 11:00:00,2026-08-07 11:00:00,delivered,Chandigarh
S0061,O0473,W002,V044,D044,2026-08-02 07:00:00,2026-08-05 07:00:00,2026-08-04 07:00:00,delivered,Hyderabad
